person,year_raw,event,type,subtype,phase
alami,1954,모로코에서 출생,개인사,birth,k12
alami,1974,"20세까지 모로코에서 학업, 이후 프랑스 툴루즈로 이주",개인사,relocation,k12
alami,1975,"툴루즈 ENSEEIHT 공학 학교 입학, Henry Farreny 교수의 A.I. 강의에 영감을 받음",교육,bs_enroll,undergrad
alami,1978,"ENSEEIHT 컴퓨터 공학 학사(석사 동등) 학위 취득, 모로코로 귀국",교육,bs_graduate,undergrad
alami,1978–1980,"모로코 교량·댐 부처(Ministry of Equipment and Dams)에서 컴퓨터 엔지니어로 근무, 홍수 시뮬레이션 모델 개발",직업 이력,hire,early_career
alami,1980,"연구를 위해 툴루즈로 복귀, LAAS의 George Giralt 그룹 합류",교육,phd_enroll,grad
alami,1980년대 초반,"프랑스 국가 로보틱스 프로그램 ARA(Automation and Advanced Robotics) 참여, Lisp 인터프리터를 직접 구축",연구·프로젝트,proj_start,grad
alami,1980년대 초반,Flexible Assembly Cell용 고수준 제어 시스템 NNS(No Name System) 개발,연구·프로젝트,breakthrough,grad
alami,1983,폴 사바티에 대학교에서 로보틱스 박사 학위 취득,교육,phd_graduate,grad
alami,1984,CNRS 정식 연구원으로 임용,직업 이력,hire,early_career
alami,1984,첫 ICRA(애틀랜타)에서 NNS 발표,학회·커뮤니티,conf_attend,early_career
alami,1985–1986,"MIT, CMU, Stanford, U. Penn., SRI, Berkeley 등 미국 주요 연구실 방문",교육,sabbatical_visit,early_career
alami,1986–1992,프랑스 화성 탐사 로버 프로젝트 RIISP 참여 (CNES 협력),연구·프로젝트,proj_start,early_career
alami,1986년경,동료 Raja Chatila와 함께 Hilare 모바일 로봇으로 자율성 연구로 전환,연구·프로젝트,proj_start,early_career
alami,1992,"다중 로봇 협업 프로젝트 MARTHA 시작 (LAAS 측 주요 책임자), plan-merging 개념 도입",연구·프로젝트,proj_start,mid_career
alami,1999,"Toulouse LAAS에서 제1회 Workshop on Human-Friendly Robotics 공동 개최 (CNRS-NSF, John Canny와 공동 조직)",학회·커뮤니티,conf_create,mid_career
alami,1999 이후,프랑스 국가 프로젝트 HR+(Human-Robot Plus) 추진,연구·프로젝트,proj_start,mid_career
alami,2000년대 중반,유럽 FET 프로젝트 COGNIRON 코디네이터(툴루즈),연구·프로젝트,proj_start,mid_career
alami,2000년대 후반,유럽 프로젝트 PHRIENDS 완료(물리적 인간-로봇 상호작용),연구·프로젝트,proj_complete,mid_career
alami,2011,인터뷰 시점: LAAS-CNRS의 Robotics & A.I. 연구 디렉터,직업 이력,admin_role,senior
ambrose,1964,미국 보스턴에서 출생,개인사,birth,k12
ambrose,1960년대 후반,가족과 함께 텍사스 주 휴스턴으로 이주,개인사,relocation,k12
ambrose,1969 여름,휴스턴에서 달 착륙을 보고 NASA 입사를 결심 (당시 5세),네트워크,influence,k12
ambrose,유년기,"휴스턴, 시카고를 거치며 초등학교 수학, 5세 무렵부터 모터를 이용한 제작 활동",교육,k12_enroll,k12
ambrose,중학교 시절,광저항(photo resistor)을 이용한 태양광 집열판 폐루프 제어 장치 독학 제작,교육,k12_enroll,k12
ambrose,1980년대 초반,"워싱턴 대학교(세인트루이스) 입학, 기계공학 전공",교육,bs_enroll,undergrad
ambrose,학부/석사,"기계공학 학사·석사, 링키지 합성(linkage synthesis) 연구, F18·Harrier용 CAD 시스템 베타 테스트 참여",교육,ms_graduate,grad
ambrose,1987 여름,"텍사스 대학교 오스틴 박사 과정 시작, Delbert Tesar 지도, 모듈식 매니퓰레이터 설계 방법론 연구",교육,phd_enroll,grad
ambrose,박사 과정 중,"부인과 함께 진학, NASA 컨소시엄(UT Austin·UT Arlington·Texas A&M·Rice)에서 인터넷 기반 원격 로봇 조작",연구·프로젝트,proj_start,grad
ambrose,1989–1990,Robotics Research 1607 KB 매니퓰레이터를 오스틴에서 원격 조종,연구·프로젝트,demo,grad
ambrose,1991 여름,UT Austin 박사 학위 취득,교육,phd_graduate,grad
ambrose,1991,"NASA Johnson Space Center 입사 (계약직), Charlie Price 산하 Technology Branch",직업 이력,hire,early_career
ambrose,1991 이후,"EVA 온도 범위(-50 ~ +100°C) 매니퓰레이터 조인트 개발, 열-진공 챔버 실험",연구·프로젝트,proj_start,early_career
ambrose,초기 NASA 시기,취소된 FTS(Flight Telerobotic Servicer) 기술 캡처 작업,실패·전환,proj_fail,early_career
ambrose,1996,Robonaut 프로젝트 시작,연구·프로젝트,proj_start,early_career
ambrose,1998,"""Robonaut"" 명칭 확정",연구·프로젝트,breakthrough,early_career
ambrose,1999년 8월,Robonaut 프로젝트 리더 취임,직업 이력,promotion,mid_career
ambrose,1999년 9월,Robonaut가 처음으로 도구를 잡는 데 성공 (텔레오퍼레이션),연구·프로젝트,demo,mid_career
ambrose,2000,"두 번째 팔(왼팔), 허리 관절 추가",연구·프로젝트,next_gen,mid_career
ambrose,2001,"토루소 재패키징, 스킨/촉각 센서 도입",연구·프로젝트,next_gen,mid_career
ambrose,2002,"Robonaut 1B1 제작, DARPA(Mark Swinson, 이후 Doug Gage) 후원으로 Segway 통합",연구·프로젝트,next_gen,mid_career
ambrose,초기 2000년대,"Rod Grupen, Alan Peters, Maja Matarić, Cynthia Breazeal 등 대학 연구진과 협업",네트워크,collab_start,mid_career
ambrose,2005–2006,"NASA가 달 탐사 방향 전환, 차세대 lunar rover 개발 지시",외부 영향,policy,mid_career
ambrose,2006,Robonaut 1 시리즈 마지막 모델용 커스텀 로버 제작,연구·프로젝트,next_gen,mid_career
ambrose,2007,Chariot 1A 로버 제작 (이후 1B 추가),연구·프로젝트,next_gen,mid_career
ambrose,2010년경,애리조나에서 Centaur II + Robonaut 2 조합 원격 시연 (휴스턴에서 명령),연구·프로젝트,demo,mid_career
ambrose,2011,인터뷰 시점: NASA Johnson Space Center에서 Game Changing Development Program PI 및 Human Robotics Systems Project 6년차 리더,직업 이력,admin_role,mid_career
arai,1952,일본 도쿄에서 출생,개인사,birth,k12
arai,유년기,"만들기와 분해를 좋아함, 수학·물리·화학에 강점",교육,k12_enroll,k12
arai,학부/석사,도쿄 대학교 응용수학·계측물리학과(Applied Mathematics and Instrumentation Physics) 진학,교육,bs_enroll,undergrad
arai,1975,도쿄 대학교 학사 학위 취득,교육,bs_graduate,undergrad
arai,1977,도쿄 대학교 석사 학위 취득,교육,ms_graduate,grad
arai,1977,MITI(현 METI) 산하 Mechanical Engineering Laboratory 입사 (도쿄 북동 70km),직업 이력,hire,early_career
arai,초기 연구,"환자 케어 로봇 프로젝트 참여, 옴니디렉셔널 휠 모바일 로봇과 초음파 위치 인식 센서 개발",연구·프로젝트,proj_start,early_career
arai,1986,도쿄 대학교에서 박사 학위 취득 (보행 로봇 및 양방향 원격조작),교육,phd_graduate,early_career
arai,1986–1987,"MIT 객원 연구원, Tom Sheridan 그룹에서 1년 체류, 병렬 메커니즘(케이블 구동)에 매료됨 (Kamal Youcef-Toumi와 협업)",교육,sabbatical_visit,early_career
arai,1987 이후,일본 귀국 후 병렬 메커니즘 기반 굴착기(excavation machine) 프로젝트 시작,연구·프로젝트,proj_start,early_career
arai,1990년대 초반,마이크로 핸드 연구 착수 (병렬 메커니즘 기반),연구·프로젝트,proj_start,early_career
arai,1997,오사카 대학교 시스템 혁신학과(공학연구과) 정교수로 부임,직업 이력,promotion,mid_career
arai,오사카 시기,"Limb Mechanism(6족) 모바일/조작 통합 로봇 개발, 마이크로 매니퓰레이션을 통한 세포 조립 연구",연구·프로젝트,proj_start,mid_career
arai,2000년경,Mechanical Engineering Laboratory가 AIST로 재편됨,외부 영향,policy,mid_career
arai,2013,"인터뷰 시점: 오사카 대학교 교수, 9개 대학 컨소시엄의 5년 국가 프로젝트(연 200만 USD) 진행 중",연구·프로젝트,proj_start,senior
arai,2016,"IEEE Fellow 선정 (인터뷰 후, 약력란에 표기)",수상·명예,fellow,senior
arbib,1940,영국에서 출생,개인사,birth,k12
arbib,1947,7세에 뉴질랜드로 이주,개인사,relocation,k12
arbib,1949,"9세에 호주 시드니로 이주, 고등학교 및 학부 수학",개인사,relocation,k12
arbib,학부 시절,"Norbert Wiener의 『Cybernetics』를 읽고 순수 수학에서 전향, Grey Walter의 거북이 로봇 접함",네트워크,influence,undergrad
arbib,1960,시드니 대학교 순수수학 학사 학위 취득,교육,bs_graduate,undergrad
arbib,1960,"Bill Levick 신경생리학자와 협업, ""What the Frog's Eye Tells the Frog's Brain"" 논문에 영향받음",네트워크,collab_start,undergrad
arbib,1960,MIT 박사 과정 진학 (지도교수: Wiener → 통계역학자로 변경),교육,phd_enroll,grad
arbib,1961,Pitts의 1943년 논문을 분석한 논문이 Journal of the ACM에 게재,연구·프로젝트,paper,grad
arbib,박사 과정 중,"호주 New South Wales 대학에서 강의, 첫 책 『Brains, Machines, and Mathematics』 집필",연구·프로젝트,paper,grad
arbib,1963,MIT 수학 박사 학위 취득 (확률·확률과정),교육,phd_graduate,grad
arbib,1963,"미국 일주 후 유럽·소비에트 여행, Rudolf Kálmán을 만남",네트워크,mentor_meet,early_career
arbib,1964년경,"Stanford에서 Kálmán 산하 박사후 연구원 (5년간), SRI의 Nils Nilsson과 Shakey/STRIPS 관련 논의",교육,postdoc,early_career
arbib,Stanford 시기,"Richard Didday와 winner-take-all 네트워크 모델 제안, schema theory 개념 발전",연구·프로젝트,breakthrough,early_career
arbib,1970,University of Massachusetts Amherst의 Computer and Information Science 학과 창립 학과장으로 부임,직업 이력,admin_role,mid_career
arbib,1977,"Center for Systems Neuroscience 설립, Shun-ichi Amari가 첫 방문 연구원으로 합류",직업 이력,admin_role,mid_career
arbib,1979,뇌 컨퍼런스에서 Marc Jeannerod의 손 운동 연구를 접하고 손 제어 연구로 확장,실패·전환,pivot,mid_career
arbib,1980년경,"Laboratory for Perceptual Robotics 설립, Salisbury Hand 도입; Thea Iberall, Damian Lyons와 손 제어 연구; Lyons는 RS(Robot Schemas) 언어 개발",연구·프로젝트,proj_start,mid_career
arbib,UMass 시기,"Andy Barto, Rick Sutton 채용으로 강화학습 이론 토대 마련; Ron Arkin이 frog 모델로 로봇 제어 연구",네트워크,student_notable,mid_career
arbib,1982,"Amari와 함께 교토에서 ""Competition and Cooperation in Neural Nets"" 회의 조직, Mitsuo Kawato와 친분",학회·커뮤니티,conf_create,mid_career
arbib,1986,"USC로 이적, George Bekey가 영입; USC/Belgrade Hand 연구 협업",직업 이력,move,mid_career
arbib,USC 시기,"Thony Lewis, Andy Fagg 등 박사 과정 지도; Stefan Schaal·Maja Matarić·Gaurav Sukhatme를 조교수로 영입",네트워크,student_notable,senior
arbib,1990년대 후반,일본·프랑스·이탈리아와 손 운동 신경 메커니즘 국제 공동연구; 거울 뉴런 발견 후 Scott Grafton과 인간 fMRI 연구,네트워크,collab_start,senior
arbib,2011,"인터뷰 시점: USC Fletcher Jones Professor of Computer Science 등 다수 학과 겸직, 언어 진화 연구에 집중",직업 이력,admin_role,senior
arkin,1949,"미국 뉴욕시 맨해튼에서 출생, 롱아일랜드 Roslyn에서 성장",개인사,birth,k12
arkin,학부,미시간 대학교 화학 학사 + 응용수학 복수 전공,교육,bs_graduate,undergrad
arkin,대학원,Stevens Institute of Technology에서 유기화학 석사,교육,ms_graduate,grad
arkin,졸업 후,"염료 회사, 제약 R&D 화학자로 근무 (석사 취득 후)",직업 이력,hire,early_career
arkin,1970년대 후반,"부인과 함께 뉴햄프셔로 이주, 50에이커 토지 매입",개인사,relocation,early_career
arkin,약 10년간,"Hawthorne College(뉴햄프셔 Antrim)에서 화학 강의, 이후 Florida Institute of Technology에 인수됨",직업 이력,hire,early_career
arkin,강의 중반,"응용수학 배경으로 컴퓨터과학 프로그램 개설을 자원, 학과장으로 봉사",직업 이력,admin_role,early_career
arkin,박사 과정 직전,University of Lowell에서 시간표상 로보틱스 강좌 수강,실패·전환,pivot,early_career
arkin,박사 과정 진학,"University of Massachusetts Amherst Visions Lab 입학, 지도교수 Ed Riseman; Michael Arbib 멘토링",교육,phd_enroll,grad
arkin,박사 과정 중,정규직 그만두고 학위에 전념; 풀타임 가족 부양과 병행 위해 매주 통학,교육,phd_enroll,grad
arkin,1987,"UMass Amherst에서 컴퓨터과학 박사 학위 취득 (3년 만에), 논문 주제: hybrid deliberative-reactive 아키텍처와 schema theory; HARV 로봇 (Denning 2호) 활용",교육,phd_graduate,grad
arkin,1987 이후,"Georgia Tech 합류 (이후 28년 재직), Computer Science 그룹의 첫 로보틱스 교수",직업 이력,hire,early_career
arkin,1990년대 중반,"첫 안식년: 스웨덴 KTH에서 Henrik Christensen과 1년, Center for Autonomous Systems 설립 지원",교육,sabbatical_visit,mid_career
arkin,1990년대 후반,"멀티 로봇 협업·포메이션 제어로 연구 확장 (NSF, DARPA 후원)",연구·프로젝트,proj_start,mid_career
arkin,2000년대 초반,"Sony 컨설팅 시작 (10년간), AIBO와 QRIO용 ethological·emotional 아키텍처 개발 및 특허",창업·산업,industry_collab,mid_career
arkin,두 번째 안식년,"일본 Sony 4개월 체류 후 Toulouse CNRS LAAS에서 약 1년 (Raja Chatila, Rachid Alami와 협업)",교육,sabbatical_visit,mid_career
arkin,2003,IEEE Fellow 선정,수상·명예,fellow,mid_career
arkin,2000년대 중반,"Henrik Christensen을 Georgia Tech으로 영입, RIM Center → IRIM Institute로 발전",직업 이력,admin_role,mid_career
arkin,시기 미상,"Army Research Office의 약 30만 달러 그랜트로 윤리적 거버너(ethical governor), 윤리적 어댑터, 책임 자문 등 lethal autonomy 윤리 아키텍처 연구",연구·프로젝트,proj_start,mid_career
arkin,2010,"다람쥐 기만 행동 연구 등으로 Time 매거진 ""Top 50 Inventions of 2010"" 선정",수상·명예,lifetime_award,senior
arkin,2014,"인터뷰 시점: Georgia Tech Regents' Professor, Mobile Robot Lab 디렉터, College of Computing 부학장",직업 이력,admin_role,senior
arkin,인터뷰 시점,Tufts(Matthias Scheutz)와 NSF 5년 그랜트로 초기 파킨슨 케어용 로봇 연구; DTRA의 대량살상무기 대응 로봇 프로젝트 진행,연구·프로젝트,proj_start,senior
asada,1953년 10월 1일,일본 시가현(나가하마시)에서 출생,개인사,birth,k12
asada,초등학교 6년,나가하마시에서 수학,교육,k12_enroll,k12
asada,중1,"부친의 JNR 근무지 이동으로 도야마현으로 이주, 중학교 2년 수학",개인사,relocation,k12
asada,고등학교,도야마에서 형과 함께 거주하며 명문 고등학교 진학 (3년),교육,k12_enroll,k12
asada,1971년경,18세에 오사카 대학교 제어공학과 입학,교육,bs_enroll,undergrad
asada,학부 시절,"결혼 및 출산, 1년 추가 재학 (총 5년)",개인사,marriage,undergrad
asada,학부 후반,Saburo Tsuji 교수의 컴퓨터 비전 연구실 선택,교육,bs_major,undergrad
asada,1982,"오사카 대학교 제어공학 박사 학위 취득, 학위 논문은 영상 시퀀스로부터의 3D 구조 복원",교육,phd_graduate,grad
asada,박사 후,"오사카 대학에서 모바일 로봇 비전 연구 지속, 연구조교",직업 이력,hire,early_career
asada,1986–1987,"메릴랜드 대학교 Center for Automation Research 1년 2개월 10일 방문, Azriel Rosenfeld·Larry Davis·Yiannis Aloimonos와 교류; DARPA ALV 프로젝트의 영상 처리 작업",교육,sabbatical_visit,early_career
asada,귀국 후,오사카 대학교에서 Yoshiaki Shirai 교수와 비전 연구; 강사 → 부교수로 승진,직업 이력,promotion,early_career
asada,1990년경,"기계공학 학과로 전과, 부교수, 자체 연구실 운영",직업 이력,move,early_career
asada,1992–1993,"강화학습을 축구 로봇에 적용하는 연구 시작, Hiroaki Kitano와 RoboCup 구상 시작",연구·프로젝트,proj_start,mid_career
asada,1994 ICRA,강화학습 축구 로봇 논문 투고했으나 게재 거절됨 → ICML 워크숍에서 발표,실패·전환,rejected,mid_career
asada,1995 ICRA,동일 논문 재투고하여 베스트 논문 후보(10편) 선정,수상·명예,paper_award,mid_career
asada,1996,IROS 의장으로 Pre-RoboCup 개최 (Manuela Veloso 참가),학회·커뮤니티,conf_create,mid_career
asada,1997,"첫 RoboCup 개최 (나고야), middle-size league 공동 우승 (USC와 무승부)",학회·커뮤니티,conf_create,mid_career
asada,1998,"RoboCup 파리 개최, Sony AIBO 데모",학회·커뮤니티,conf_attend,mid_career
asada,1999,스톡홀름 RoboCup에서 AIBO 첫 공식 리그,학회·커뮤니티,conf_attend,mid_career
asada,2002–2008,국제 RoboCup Federation 회장,학회·커뮤니티,editorship,senior
asada,2005년 9월,"JST ERATO Asada Synergistic Intelligence Project 시작 (5.5년), Yasuo Kuniyoshi·Hiroshi Ishiguro·Koh Hosoda와 함께; CB² 등 어린이 모방 휴머노이드 개발",연구·프로젝트,proj_start,senior
asada,2002–2003년경,인지·감정·의식 등 인간 지향 연구 개시,실패·전환,pivot,senior
asada,2010년경,"RoboCity CoRE 구상 제안 (오사카, 신 시장 교체로 무산)",실패·전환,proj_fail,senior
asada,2011,ERATO 프로젝트 종료,연구·프로젝트,proj_complete,senior
asada,2012,"인터뷰 시점: 오사카 대학교 적응기계시스템학과 정교수, 자기/타자 개념과 거울 뉴런 시스템 신규 프로젝트 추진",연구·프로젝트,proj_start,senior
atkeson,1959,미국 워싱턴 D.C.에서 출생 (Sputnik 발사 2년 후),개인사,birth,k12
atkeson,유년기,"워싱턴에서 성장, 1960년대 말 필리핀에서 일부 시간 보낸 후 1970년대 워싱턴 복귀",개인사,relocation,k12
atkeson,1970년대 말,"하버드 대학교 입학, 생화학 전공 + 응용수학 석사 (당시 하버드는 컴퓨터 과목을 응용수학에 포함)",교육,bs_enroll,undergrad
atkeson,박사 과정,"MIT Brain and Cognitive Sciences (당시 Psychology) 박사 과정, 지도교수 Emilio Bizzi",교육,phd_enroll,grad
atkeson,박사 1년차,인간 운동 연구,연구·프로젝트,proj_start,grad
atkeson,박사 2년차,원숭이 실험 및 인간 운동 연구,연구·프로젝트,proj_start,grad
atkeson,박사 후반,"로봇 연구로 전환, John Hollerbach(MIT AI Lab) 및 Neville Hogan(MechE)과 협업; PUMA 로봇으로 무게/관성 추정 실험",실패·전환,pivot,grad
atkeson,박사 학위,"""물건을 들었을 때 무게를 어떻게 아는가"" 주제로 학위",교육,phd_graduate,grad
atkeson,졸업 후,MIT Brain and Cognitive Sciences 학과 및 AI Lab의 조교수,직업 이력,hire,early_career
atkeson,MIT 시기,content-addressable memory(메모리 기반 학습) 연구; MIT Direct Drive Arm 활용,연구·프로젝트,proj_start,early_career
atkeson,MIT 시기,"박사후 Andrew Moore, Stefan Schaal 지도; 박사 과정생 David Reinkensmeyer, Ying Zhao, Sherif Botros 등 지도",네트워크,student_notable,early_career
atkeson,MIT 시기,"공 치기/저글링 로봇 (Dan Koditschek 그룹과 이념 논쟁), 채찍 휘두르기 로봇 등",연구·프로젝트,proj_start,early_career
atkeson,1994,Georgia Tech로 이적 (당시 여자친구이자 미래의 부인 Jessica Hodgins의 직장 따라),직업 이력,move,early_career
atkeson,Georgia Tech 시기,"메모리 기반 vs. 신경망 논쟁 지속; Mitsuo Kawato(ATR, 일본)와 본격 협업; Sarcos 로봇(이전에 Hollerbach가 도입한 MIT Utah Hand 인연)으로 작업",네트워크,collab_start,mid_career
atkeson,GT 시기,"Aware Home 프로젝트 (Gregory Abowd, Aaron Bobick, Beth Mynatt 등과); 강의 캡처 시스템 (""robe of knowledge"") 실험",연구·프로젝트,proj_start,mid_career
